link,title,surface_totale,surface_habitable,chambre,bain,price,ville,time,secteur,type,age,etage,salon,description,Concierge,Balcon,Terrasse,Securite,Parking,Ascenseur,Climatisation,CuisineEquipee,Garage,Chauffage,Piscine,Jardin,Titre,Loti,Duplex,Meuble
https://www.avito.ma/fr/maarif/appartements/Appartement_71m2_%C3%A0_El_Maarif_47205172.htm,Appartement 71m2 à El Maarif,71 m²,,1,1,1290000,Casablanca,02:36,Maarif,"Appartements, Vente",Neuf,,1,"Description
""Résidence Villa Marie Césaire vous propose un Duplex composé de :
- Grand Salon
- 1 chambre
- Un Salon
- Terrasse (14m2)",0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
https://www.avito.ma/fr/maarif/appartements/Duplex_95m2_%C3%A0_El_Maarif_47205177.htm,Duplex 95m2 à El Maarif,95 m²,,2,2,1690000,Casablanca,02:35,Maarif,"Appartements, Vente",Neuf,,1,"Description
Résidence Villa Marie Césaire vous propose un Duplex composé de :
- Grand Salon
- 2 chambres
- Un Salon
- Terrasse (23 m2)",0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0
https://www.avito.ma/fr/maarif/appartements/Studio_53m2_%C3%A0_El_Maarif_47205169.htm,Studio 53m2 à El Maarif,53 m²,46 m²,1,1,960000,Casablanca,02:35,Maarif,"Appartements, Vente",Neuf,1,1,"Description
Résidence Villa Marie Césaire vous propose un superbe Studio de 53 m2 :
- 1 chambre
- Un salon
- buanderie dressing / Rangement
- Terrasse avec du marbre au sol",0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
https://www.avito.ma/fr/quartier_des_hopitaux/appartements/Appart_111_m2_Abdelmoumen_47685462.htm,Appart 111 m2 Abdelmoumen,111 m²,,2,2,1400000,Casablanca,19 Janvier,Quartier des Hôpitaux,"Appartements, Vente",,4,2,"Description
Appartement moderne à vendre, bien ensoleillé, sans vis à vis situé à lotissement Abdelmoumen, à proximité du tramway et proche de la faculté de médecine (5min à pied). L’appartement de superficie 111Voir plus",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_de_74_m%C2%B2_%C3%A0_Sidi_Maarouf_Casablanca_48645021.htm,Appartement de 74 m² à Sidi Maarouf Casablanca,74 m²,68 m²,2,2,680800,Casablanca,19 Janvier,Sidi Maarouf,"Appartements, Vente",Neuf,2,1,"Description
Le projet Yacout Tit Mellil est la grande fierté de la société Bon Foyer. Ce
projet est le fruit de la combinaison entre les efforts acharnés des ouvriers, des
architectes, et des remarques etVoir plus",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/sidi_maarouf/appartements/duplex_de_142m%C2%B2_en_vente_%C3%A0_sidi_Maarouf_Casablanca_48569675.htm,duplex de 142m² en vente à sidi Maarouf Casablanca,142 m²,142 m²,3,2,,Casablanca,19 Janvier,Sidi Maarouf,"Appartements, Vente",Neuf,1,2,"Description
duplex luxueux ensoleillé toute la journée avec un emplacement idéal, proche de toute commodité

pour un grand espace de vie qui se compose: d'une grande cuisine bien équipée, 2 grands salons,Voir plus",1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
https://www.avito.ma/fr/les_princesses/appartements/Appartement_en_Vente_aux_Princesses_46230879.htm,Appartement en Vente aux Princesses,150 m²,126 m²,2,2,2150000,Casablanca,19 Janvier,Les Princesses,"Appartements, Vente",6-10 ans,3,1,"Description
Vip Services Maroc met en vente ce superbe appartement en plein cœur du quartier les Princesses, à proximité de commerces, restaurants, etc...
Il se compose de 2 chambres avec possibilités d'avoirVoir plus",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
https://www.avito.ma/fr/maarif/appartements/appartement_%C3%A0_maatif_ext__a_vendre_48559379.htm,appartement à maatif ext a vendre,103 m²,,2,2,1580000,Casablanca,19 Janvier,Maarif,"Appartements, Vente",11-20 ans,3,1,"Description
appartement 103 m 2 a Vendre maarif ext grand salon avec séjour deux grand chambres avec des deux salles de bains grande cuisine équipée avec balcon bien ensoleillé 3 façades 3 étages avec asceVoir plus",1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
https://www.avito.ma/fr/sidi_bernoussi/appartements/%D8%AD%D9%8A_%D8%A7%D9%86%D8%A7%D8%B3%D9%8A_%D8%A7%D9%84%D8%A8%D9%8A%D8%B6%D8%A7%D8%A1_48760148.htm,حي اناسي البيضاء,84 m²,,2,--,370000,Casablanca,19 Janvier,Sidi Bernoussi,"Appartements, Vente",,2,1,"Description
دار البيع في حي اناسي البيضاء",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
https://immoneuf.avito.ma/fr/unite/jzF?utm_source=avito_integration&utm_medium=listing_integration,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
